Function                                                                                                                                                                                                                  CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
node::isCylinderWall                                                                                                                                                                                                        0.150s                   0.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::isCylinderWall(void) const                                                                                                                                                                                                                                                                                                                                                                                           node.cpp          0x461290     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                                                                         0.150s                   0.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x409c20     
std::vector<node*, std::allocator<node*>>::operator[]                                                                                                                                                                       0.150s                   0.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                       stl_vector.h      0x45f150     
std::vector<node*, std::allocator<node*>>::reserve                                                                                                                                                                          0.141s                   0.141s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::reserve(unsigned long)                                                                                                                                                                                                                                                                                                                                                          vector.tcc        0x44b7ec     
std::abs                                                                                                                                                                                                                    0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::abs(double)                                                                                                                                                                                                                                                                                                                                                                                                           std_abs.h         0x419cca     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                                                                                     0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x457170     
tVect::operator+                                                                                                                                                                                                            0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x412367     
tVect::operator-                                                                                                                                                                                                            0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x40b9c2     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                                                                          0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x458bf0     
LB::checkNewInterfaceParticles                                                                                                                                                                                              0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::checkNewInterfaceParticles(std::vector<elmt, std::allocator<elmt>>&, std::vector<particle, std::allocator<particle>>&)                                                                                                                                                                                                                                                                                                 LB.cpp            0x44b610     
std::chrono::_V2::steady_clock::now                                                                                                                                                                                         0.138s                   0.138s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libstdc++.so.6  std::chrono::_V2::steady_clock::now(void)                                                                                                                                                                                                                                                                                                                                                                                  chrono.cc         0xd3860      
std::pair<unsigned int, node>::pair<unsigned int const&, node&, (bool)1>                                                                                                                                                    0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::pair<unsigned int, node>::pair<unsigned int const&, node&, (bool)1>(unsigned int const&&&, node&&&)                                                                                                                                                                                                                                                                                                                   stl_pair.h        0x458edd     
std::vector<node*, std::allocator<node*>>::push_back                                                                                                                                                                        0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::push_back(node* const&)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x456e9d     
tVect::operator*                                                                                                                                                                                                            0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x421ace     
tVect::operator+                                                                                                                                                                                                            0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422390     
quaternion::operator*                                                                                                                                                                                                       0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x422f8b     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                                                                                     0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x458094     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                                                                                     0.119s                   0.119s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x456f95     
func@0x404620                                                                                                                                                                                                               0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x404620                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x404620     
operator*                                                                                                                                                                                                                   0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x40b9b0     
std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::insert                                                                                                                                       0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::insert(unsigned int const&)                                                                                                                                                                                                                                                                                                                 stl_set.h         0x45f729     
node::isDynWall                                                                                                                                                                                                             0.101s                   0.101s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::isDynWall(void) const                                                                                                                                                                                                                                                                                                                                                                                                node.cpp          0x461280     
node::setEquilibrium                                                                                                                                                                                                        0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::setEquilibrium(tVect const&, double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                            node.cpp          0x460210     
LB::getY                                                                                                                                                                                                                    0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::getY(unsigned int const&) const                                                                                                                                                                                                                                                                                                                                                                                        LB.cpp            0x44d2b0     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                                                                               0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x459941     
std::vector<wall, std::allocator<wall>>::size                                                                                                                                                                               0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<wall, std::allocator<wall>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                  stl_vector.h      0x411f9b     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                                                                               0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x4596ab     
std::vector<particle, std::allocator<particle>>::operator[]                                                                                                                                                                 0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<particle, std::allocator<particle>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                 stl_vector.h      0x409c0c     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                                                                          0.100s                   0.100s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x45f454     
std::vector<int, std::allocator<int>>::operator[]                                                                                                                                                                           0.099s                   0.099s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<int, std::allocator<int>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                           stl_vector.h      0x4585f2     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                                                                         0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x409d00     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                                                                                     0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x458196     
tVect::operator+                                                                                                                                                                                                            0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x40b837     
_int_free                                                                                                                                                                                                                   0.090s                   0.090s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6       _int_free                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0x80e10      
tVect::operator+                                                                                                                                                                                                            0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422c2b     
operator*                                                                                                                                                                                                                   0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x460e72     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                                                                         0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x4576b5     
DEM::evalMaxDisp                                                                                                                                                                                                            0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          DEM::evalMaxDisp(void)                                                                                                                                                                                                                                                                                                                                                                                                     DEM.cpp           0x40abb0     
tVect::operator+                                                                                                                                                                                                            0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x460e50     
tVect::operator+=                                                                                                                                                                                                           0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x41c000     
tVect::operator-                                                                                                                                                                                                            0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x419add     
std::vector<particle, std::allocator<particle>>::operator[]                                                                                                                                                                 0.080s                   0.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<particle, std::allocator<particle>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                 stl_vector.h      0x44b6c0     
std::vector<particle, std::allocator<particle>>::operator[]                                                                                                                                                                 0.070s                   0.070s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<particle, std::allocator<particle>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                 stl_vector.h      0x411a88     
tVect::operator+                                                                                                                                                                                                            0.070s                   0.070s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x421ace     
